,,VIEW ALL SONGS AT YZYARCHIVE.org ,,
"""Thank God For Drugs
(Yeezus, Nigger Cock)""","Before Kanye chose the name Yeezus for his sixth solo album, the name was Thank God For Drugs. Recording started in 2012 and accelerated in early 2013, with Kanye and his producers producing material very quickly. The tracklist for the album boasted 20 songs, with around 3.5 hours of rough material created for the album. After changing the album's name to Yeezus, Kanye recruited Rick Rubin to cut down this material and take the music in a minimal direction.			",,https://photos.fife.usercontent.google.com/pw/AP1GczMm48Pclw7wMoo-Uy7vbGH9kptwoq5OmWs3gZIGYEwU01cT_7hvLKVA=w563-h563-s-no-gm?authuser=0,"""(08/12/2011) (Watch The Throne (Deluxe) officially releases)
(06/29/2012) (No I.D. says he's working on Kanye's latest solo album)
(05/16/2013) (Kanye changes the album title to Yeezus)""	"
"""Yeezus
(Thank God For Drugs, Nigger Cock)""","Yeezus marked a complete reverse from the bombastic production that Kanye accomplished on My Beautiful Dark Twisted Fantasy. He swapped lush soul and anthemic hooks for splintering electro, acid house, and industrial force while packaging some of his most lewd and heart-crushing tales. Initially envisioned as Thank God For Drugs, a much larger project, Kanye would play the album for Rick Rubin, he later recalled listening to roughly 3-hours of unfinished material that seemed to need months worth of work - despite the release date being a month away. Kanye enlisted Rubin to refine and complete the project, finishing a majority of the songs just two days before release.			",,https://photos.fife.usercontent.google.com/pw/AP1GczPW_X235twBQiEkTw9I_ygDW5-sB6eFdNVuk-6KRtYB3HqjKNd755zp=w300-h263-s-no-gm?authuser=0,"""(05/16/2013) (Kanye changes the album title to Yeezus)
(05/20/2013) (Yeezus pre-orders are taken down) (Era starts here)
(06/18/2013) (Yeezus officially releases)""	"
"""Cruel Winter [V1]
(Collaboration with G.O.O.D. Music)""","The 2013 version of Cruel Winter, the first version of the sequel to 2012's Cruel Summer, is a mystery. No single for this album was released, and most of the info comes from leakers and insiders. It had many songs with A Tribe Called Quest member Q-Tip, who was notably absent from Cruel Summer despite having already been signed to the label. There is no official cover for this album, so we're using a fanmade cover to represent this era.			",,https://photos.fife.usercontent.google.com/pw/AP1GczNxAeTvaXj_K5C98Y8n0ekzpwVMKCnKqvWcBvfEUyROfY3DIrlT6Gkn=w992-h992-s-no-gm?authuser=0,"""(09/14/2012) (Cruel Summer officially releases)
(Late 2013) (The project is scrapped)""	"
"""Yeezus 2
(Lost Yeezus, New Yeezus, ULTRA)""","After Rick Rubin and Kanye West cut down Yeezus to the final ten tracks, Kanye still saw potential in much of the cut material. Thus, shortly after Yeezus was released, an EP of leftovers titled Lost Yeezus was already being teased. The project then evolved into a full-fledged album of mostly new material, with Yeezus 2 acting as a codename before they could choose the last name. This project would develop into So Help Me God as the songs evolved.			",,https://photos.fife.usercontent.google.com/pw/AP1GczOXfwk0gyY82mJlzfpu0sdusIJayQ6SqTNEtfkoULqwWwYOk9NWwBYQ=w992-h992-s-no-gm?authuser=0,"""(06/18/2013) (Yeezus officially releases)
(07/16/2014) (Kanye begins hosting recording sessions while staying in Mexico)""	"
"""So Help Me God
(Chiraq, Ye-Ye, Wolves)""","Announced in February 2015, So Help Me God is now one of Kanye's most infamous unreleased projects. Essentially being a more advanced version of the songs developed during the Yeezus 2 era, So Help Me God gained significant hype as the teaser tracks of ""Wolves,"" ""All Day,"" and ""Only One"" was revealed to the public. Despite intending to release the album in March 2015, Kanye never finished So Help Me God, and only a few songs from the era ended up on The Life Of Pablo.			",,https://photos.fife.usercontent.google.com/pw/AP1GczPFsJaiV-NJIENJgEQXhCHMCx-neshDjN4pKJNMC4Mp5HZAzo4Sbt2t=w427-h427-s-no-gm?authuser=0,"""(07/16/2014) (Kanye begins hosting recording sessions while staying in Mexico)
(06/28/2015) (Kanye performs at Glastonbury)""	"
SWISH,"After changing the name of his 7th solo album from So Help Me God to SWISH, Kanye began to develop all new songs throughout mid-late 2015 meant for the album, with most of them eventually making it onto the final release of The Life Of Pablo. Kanye also continued to work on many So Help Me God and Yeezus 2 tracks, but by the end of 2015 and the start of 2016, Kanye had dropped most of these tracks from the tracklist for SWISH, which began to resemble the final TLOP tracklist strongly.			",,https://photos.fife.usercontent.google.com/pw/AP1GczMRikhv0y6WVOeyaGdS4LoRwOZeod9ifr_A4FtA2AM0b_vvyZS8DDMi=w480-h480-s-no-gm?authuser=0,"""(06/28/2015) (Kanye performs at Glastonbury)
(12/31/2015) (Kanye drops """"Facts"""" and the rollout begins)""	"
"""The Life Of Pablo
(So Help Me God, SWISH, WAVES, ULTRA, The White Picket Fence)""","The Life Of Pablo is Kanye's 7th studio album, with constant name changes before release. Sporadic and scatter-shot, the album is one of a kind. The title refers to three people: artist Pablo Picasso, drug dealer Pablo Escobar, and Paul the Apostle, whose name is Pablo in Spanish. The album was initially released only on TIDAL, but later made its way to other streaming services with some updates. Kanye finally finished it by adding the track ""Saint Pablo.""			",,https://photos.fife.usercontent.google.com/pw/AP1GczPNLUah6MfQMkBhDftCszZf2xxRfPr7MeHrmt1Ut_8QMG6pW6AF9Ybd=w554-h554-s-no-gm?authuser=0,"""(12/31/2015) (Kanye drops """"Facts"""" and the rollout begins)
(02/14/2016) (The Life Of Pablo officially releases)
(06/14/2016) (The Life Of Pablo receives its last update)""	"
"""Cruel Winter [V2]
(Collaboration with G.O.O.D. Music)""","After the 2013 rendition of Cruel Winter ended production, Kanye revived it in 2016. With only one official single released, this album took many ideas from popular music at the time, including many trap elements, remixes, and the biggest music stars. The label supposedly worked on it as late as November 2017, but the album has yet to come. There isn't an official cover for this album we know of, so we are using the single art for ""Champions.""			",,https://photos.fife.usercontent.google.com/pw/AP1GczPsDSOz2ln2qneAwk4b6K2VwR1cj67HL2X5f3xn520JMHhgY48lRKMp=w600-h600-s-no-gm?authuser=0,"""(Late 2015) (Work begins on Cruel Winter)
(11/20/2017) (CyHi says Cruel Winter is coming after his album)""	"
Turbo Grafx 16,"Immediately after Kanye released The Life of Pablo, he announced a whole new album titled Turbo Grafx 16, intended to be released in the summer of 2016. Kanye intended to pursue a futuristic sound, wanting to incorporate video game samples into the record. However, work on the album was short-lived, as Kanye began touring in August 2016 and scrapped the concept entirely after being diagnosed as bipolar. The cover included for this era is unofficial, despite being popular among Kanye fans.			",,https://photos.fife.usercontent.google.com/pw/AP1GczPEy6wenmlFU5zeRUhJE9yAmc-bqkD1gQ_sx8slgHnuA2MkDBx4znG4=w447-h447-s-no-gm?authuser=0,"""(02/14/2016) (The Life Of Pablo releases)
(11/22/2016) (Kanye West is admitted to UCLA Medical Hospital)""	"
"""Wolves
(Collabaration with Kanye West)
(New Abu Dhabi, Calabasas Is The New Abu Dhabi)""","Wolves was meant to be a collabaration album between Kanye West & Drake. The project was first mentioned by Ye in an interview in 2015, and billboards would be spotted with the phrase ""Calabasas Is The New Abu Dhabi"" with the OVO and G.O.O.D. Music logos in mid-2016 which hinted the album was coming soon. Drake later even stated the album was finished and up to Kanye to release, but despite this multiple insiders have stated that Wolves was mainly just a session and nothing much came out of it. The cover used for this era is a recreation of the image used on the billboards. 		",,https://photos.fife.usercontent.google.com/pw/AP1GczOBf8oQuTnNF-Nw52YiVPuUOq2Vl4B9tt50p2WH23cAmHelIIyMNKOl=w1003-h992-s-no-gm?authuser=0,"""(01/??/2016) (Kanye & Consequence travel to Drake's house for collab album sessions)
(??/??/2018) (Album never officially releases, according to Consequence, due to Kanye West & Kid Cudi's album """"KIDS SEE GHOSTS"""")""	"
"""LOVE EVERYONE
(Hitler)""","After Kanye was released from UCLA Medical Hospital and diagnosed as bipolar, he bought a ranch in Wyoming where he would produce his next album and multiple albums for his collaborators. The concept of the album came together in 2018. The album's subject matter varied wildly, with some songs being about introspection and change and others discussing his political views. The public name given for this album is LOVE EVERYONE, but it is known that Kanye likely considered the Hitler title longer.			",,https://photos.fife.usercontent.google.com/pw/AP1GczPIrlqhN9WHDMs1fX6PIdwAw-LegubXcLLWxh1sMcecIegbDZe6nthB=w226-h225-no?authuser=0,"""(11/30/2016) (Kanye is released from UCLA Medical Hospital)
(05/15/2018) (Kanye restarts the project)""	"
"""DAYTONA
(Album by Pusha T) (exec. prod. Kanye West)
(King Push, Blowbama, Blobama)""","DAYTONA is the third studio album by American rapper Pusha T. It was released on May 25, 2018, by G.O.O.D. Music and Def Jam Recordings. DAYTONA was announced by Kanye West via Twitter on April 19, 2018, alongside the album's release date. It was one of the Wyoming projects worked on during 2018 by Kanye.			",,https://photos.fife.usercontent.google.com/pw/AP1GczP7tdr683uWWUe7vqSK5z3Vnb1GY9VdLEKrWPG1e8-e0q_mh466hx_r=w300-h300-s-no-gm?authuser=0,"""(12/18/2015) (King Push – Darkest Before Dawn: The Prelude officially releases)
(05/25/2018) (DAYTONA officially releases)""	"
ye,"ye discusses topics in Kanye's life, including mental health, family, and addiction. He also explicitly announced his diagnosis of bipolar disorder through the album's artwork and a proclamation within the album. The seven-song project, created in Jackson Hole, Wyoming, was released alongside five other projects. Kanye revealed in an interview that after his infamous TMZ interview (in which he stated that slavery was a choice), he completely re-did his album with an entirely new theme.			",,https://photos.fife.usercontent.google.com/pw/AP1GczPDP-SRUTWihauu_EvmDU4YX6bcAPyhBo0q8MQ9O-JwzY-oxAb908zn=w300-h300-s-no-gm?authuser=0,"""(05/15/2018) (Kanye restarts the project)
(06/01/2018) (ye officially releases)
(11/07/2018) (ye receives its last update)""	"
"""KIDS SEE GHOSTS
(Collaboration with Kid Cudi as KIDS SEE GHOSTS)
(Everybody Wins)""","Out of the five Wyoming projects from 2018, people consider KIDS SEE GHOSTS one of the best. This album focuses heavily on overcoming struggles caused by mental health, which Kanye and Cudi have been fighting. It's characterized by many psychedelic and rock-influenced elements, making for an album that sounds like nothing else. This album was officially released on June 8th, 2018, making it Kanye's second collab album.			",,https://photos.fife.usercontent.google.com/pw/AP1GczNmGT-xDwDCO3PmCoOMn6OcVlXq3qzhvj6V9iMMBTjuYcHXzDcBOd1Q=w316-h316-s-no-gm?authuser=0,"""(11/30/2016) (Kanye is released from UCLA Medical Hospital)
(06/08/2018) (KIDS SEE GHOSTS officially releases)""	"
"""NASIR
(Album by Nas)
(exec. prod. Kanye West)""","After the 2012 release of Life Is Good, Nas announced in January 2013 that he was working on a new album. Time would pass with little-word on the project, until the 2014 remix to ScHoolboy Q's ""Studio"", where Nas rapped that he, ""finished up [his] new album"" - however, no album ever materialized. In March 2016, Kanye Tweeted that he ""promised Obama Ima do beats on NAS' next album"". As if it was fate, on April 23rd, 2018, Kanye announced that he was executive producing Nas' next album. The album followed its expected release date, dropping June 15th, 2018.			",,https://photos.fife.usercontent.google.com/pw/AP1GczO3Edsq4zuOZHWfg7kLcM89ec8J1GY6lCDkBUh6p3guxA6FtpMz2eIL=w300-h300-s-no-gm?authuser=0,"""(07/12/2012) (Nas releases Life Is Good)
(04/23/2018) (Kanye announces that he is executive producing Nas' next album)
(06/15/2018) (NASIR officially releases)"""
"""K.T.S.E.
(Album by Teyana Taylor)
(exec. prod. Kanye West)""","In an interview with Hot 97 in March of 2018, Taylor revealed that she had been working on music with Kanye in Wyoming, referring to him as ""Polo 'Ye"" - alluding to him returning to his old ""Polo-shirt roots"" (i.e. TCD-era production). The album was eventually put on the tail end of the Wyoming releases, releasing June 22nd, 2018. Kanye was notably still finishing the album on the plane ride to the albums LP, as confirmed in a Tweet from Kim Kardashian.			",,https://photos.fife.usercontent.google.com/pw/AP1GczMPS-vQtwL-mduZdLvKfBIXsvYM1C-KO3_mVxXqFDB8KTGDwPoaQMRR=w250-h250-s-no-gm?authuser=0,"""(11/04/2014) (Teyana Taylor's debut album VII officially releases)
(03/??/2018) (Teyana and Kanye start collaborating in Wyoming)
(06/23/2018) (K.T.S.E. officially releases)""	"
"""Good Ass Job (2018)
(Collaboration with Chance the Rapper)
(Job Well Done)""","Kanye and Chance collab project that people talked about for years before being officially announced in 2018. The project was supposed to be just seven tracks long, similar to all the Wyoming albums. The central theme of this project is a celebration, as many of the tracks we've heard from this project seem to be very joyful and uplifting. Kanye and Chance presumably canceled it sometime in 2019. This project has no covers we know of, so we have used unofficial artwork.			",,https://photos.fife.usercontent.google.com/pw/AP1GczMUbKxBmv8apFhYU_ZgAQlKOJAmTiWBY7DVc1v0Oe1fdCU7k9ZJIRNL=w750-h750-s-no-gm?authuser=0,"""(06/27/2018) (Chance announces 7-track album produced by Kanye)
(??/??/2019) (Kanye and Chance scrap the project)""	"
Yandhi [V1],"Upon hearing the beat to ""Hurricane"" during sessions for Good Ass Job (2018), Kanye became inspired to create a whole new album titled Yandhi. With the album's concept in his mind, Kanye and his producers began frenzied work as they developed multiple new songs throughout September 2018, aiming for a September 29 release date. As they did not meet this deadline, Kanye went to Uganda to conduct further work on the album, but delayed it indefinitely on November 13.			",,https://photos.fife.usercontent.google.com/pw/AP1GczMT-c0VES-S4bObIvxAYY_ZOwfdq9LVjzwKLxdfhZwLnhDRw6npCxNv=w554-h554-s-no-gm?authuser=0,"""(06/01/2018) (ye officially releases)
(11/13/2018) (Kanye delays Yandhi again after performing at Camp Flog Gnaw)""	"
Yandhi [V2],"After Kanye delayed Yandhi indefinitely, he began working with record producer Timbaland to create ""more healing music"" for the album. Shortly after the announcement of the delay, Kanye underwent a sudden and dramatic conversion towards born-again evangelical Christianity, debuting the Sunday Service Choir at the start of 2019. The creation of the choir coincided with the songs on Yandhi taking a new Christian lyrical focus. Eventually, the album would morph into the thoroughly Christian JESUS IS KING by mid-2019.			",,https://photos.fife.usercontent.google.com/pw/AP1GczMT-c0VES-S4bObIvxAYY_ZOwfdq9LVjzwKLxdfhZwLnhDRw6npCxNv=w554-h554-s-no-gm?authuser=0                                   ,"""(11/13/2018) (Kanye delays Yandhi again after performing at Camp Flog Gnaw)
(04/21/2019) (Kanye performs at Coachella with Sunday Service Choir)""	"
"""JESUS IS KING
(Christ Jesus)""","Following a revelation on Easter 2019 at Coachella, Kanye scrapped Yandhi and reworked it to focus on God and Christianity. This album ended up being JESUS IS KING. After a private listening party in Detroit, Kim Kardashian announced that the album would release on Sunday, September 29, following listening parties in Chicago and New York. It didn't, and there were no updates for almost a month. On October 20, 2019, Kanye suddenly reappeared on Twitter to announce the final release date.			",,https://photos.fife.usercontent.google.com/pw/AP1GczOvHiJpnBVGyamu-CUEHqnYpKNH-XaOF7-Wcrlt5PykG59lwDyY7Eja=w554-h554-s-no-gm?authuser=0,"""(04/21/2019) (Kanye performs at Coachella with Sunday Service Choir)
(10/25/2019) (JESUS IS KING officially releases)
(10/31/2019) (JESUS IS KING receives its last update)""	"
"""God's Country
(JESUS IS LORD, Our Beautiful Amazing Reality, Our Beautiful Light Clear Reality, Palm Springs)""","Shortly after the release of JESUS IS KING, Kanye (almost immediately) started working on new material. Songs from this era revolve around his faith while also consisting of dark themes (such as prison) and lyrics about current social issues. Initially announced as God's Country on May 20th, 2020 by Arthur Jafa, tracks from this album would go on to be developed further in the DONDA [V1] era, following Kanye getting new inspiration to make an album dedicated to his mother.			",,https://photos.fife.usercontent.google.com/pw/AP1GczMa6BsgDOZ1HiSI0XbWz1Q3gBsVdVcDk6lPzsmS-hvL9de5ALOYga_A=w226-h225-no?authuser=0,"""(10/25/2019) (JESUS IS KING officially releases)
(07/18/2020) (Kanye announces his new album titled DONDA)""	"
"""JESUS IS KING: The Dr. Dre Version
(Collaboration with Dr. Dre)
(JESUS IS KING II, JESUS IS LORD)""","The release of JESUS IS KING was met with mixed reviews from fans and critics. Kanye then took to Twitter to announce that he was working on a new album with Dr. Dre. Initially conceived as a remix album, it eventually grew to incorporate mainly unreleased material. During the #WESTDAYEVER campaign, Kanye did on Twitter in 2020, it was supposed to release officially, but never did. It ended up being scrapped sometime in 2020, as stated by producer Dem Jointz. Kanye posted the cover in 2022, which is assumed to be for the album.			",,https://photos.fife.usercontent.google.com/pw/AP1GczPE6A1hc6vgGGJgfBJp9Du_4G5R94wnArTxpRl9RqSx0cm9ARPFtsas=w447-h447-s-no-gm?authuser=0,"""(10/25/2019) (JESUS IS KING officially releases)
(09/24/2020) (Dem Jointz reveals that Kanye is no longer focused on the project)""	"
"""DONDA [V1]
(DONDA: WITH CHILD, DND WTH CHLD, DND, God's Country, The First Born Donda)""","With new inspiration to work on an album dedicated to his mother, Kanye continued working on previous demos and new ideas. The music of this era reflects Donda's impact on Kanye in a colorful sound while reflecting his mania and the stress he was going through focusing on his businesses while also running for President. With multiple failed release dates for the album, Kanye went into silence in early 2021, finishing up tracks until the album morphed into something very different.			",,https://photos.fife.usercontent.google.com/pw/AP1GczMdvVD7gZNsCN7wbS7UxkixOLDBZ-Q0A-ru5cze7_v5Q3cR8fa-oYl1=w225-h225-s-no-gm?authuser=0,"""(07/18/2020) (Kanye announces his new album titled DONDA) 
(03/07/2021) (CyHi confirms that Kanye has resumed work on the album)""	"
Donda [V2] ,"After taking a break from music in early 2021, Kanye went to work at the Pio Pico studio in LA with an entirely new vision for the album. While the name remained the same, the sound shifted to be more experimental and less soulful. Working with producers such as E.VAX, Dem Jointz, and Digital Nas, Kanye went through hundreds of beats, laying down vocals and trying to come up with ideas for songs. This era would continue until Kanye decided to finalize the album, shifting to the more minimalistic release sound.			
 ",,"https://photos.fife.usercontent.google.com/pw/AP1GczP2YSTbrYewzr_Qj5I59f0WrXcL1uh-wzKcvuv7GJdV6CsgdZvnfkw4=w992-h992-s-no-gm?authuser=0
 ","""(03/07/2021) (CyHi confirms that Kanye has resumed work on the album)
(07/09/2021) (Malik Yusef posts about a change in sound direction for the album)""	
"
Donda [V3],"Almost a year after the initial announcement of Donda, a Beats by Dre ad revealed that a listening party would take place at the Mercedes-Benz Stadium in Atlanta. It happened, but the album didn't drop. Kanye moved into the stadium and lived there until the second listening event two weeks later. Once again, the album did not release. Ye later announced a third listening party at Soldier Field in Chicago, with the album coming the next day. It didn't. The album ended up releasing on August 29th, 2021 at 8AM EST, almost two days after the final listening party.			",,https://photos.fife.usercontent.google.com/pw/AP1GczN1dg-C8P2yv3p_dCUGBa2RTTrYDvpjJ1OY32apGx_5CkT5ClahifQm=w992-h992-s-no-gm?authuser=0,"""(07/09/2021) (Malik Yusef posts about a change in sound direction for the album)
(08/29/2021) (Donda officially releases)
(11/15/2021) (Donda (Deluxe) officially releases)""	"
"""Donda 2
(For The Children, Donda 2: 4 Da Kidz)""","Donda 2 was announced by Ye via Instagram, being executive produced by Future. Ye then proceeded to get into many significant controversies. He hosted a listening party for it in Miami, in which many of the tracks were unfinished. It was released on the Stem Player a few days later, but it was still incomplete. Months later, Ye got into even more controversies, making him get dropped by Adidas, buy the social media Parler, and lose his billionaire status following his proclaiming ""White Lives Matter"" at Yeezy Season 9.			",,https://photos.fife.usercontent.google.com/pw/AP1GczM7UdlJJC1I9UuJpkcLkJuHkAYpJj9JMM5BYvwiJTcaQXYwbVVxSyaW=w848-h829-s-no-gm?authuser=0,"""(11/15/2021) (Ye releases Donda (Deluxe))
(10/03/2022) (Ye wears the White Lives Matter shirt)""	"
"""WAR
(Collaboration with James Blake)""","A collaborative project between Ye and James Blake. Sessions for the project began around April 2022. On his third Drink Champs interview, Ye referred to these sessions as work for ""their album"". Three songs from the project were played at a party featured on Naomi Campbell's Instagram, with the song ""What I Would Have Said At Virgil's Funeral"" being previewed in full at YZY Season 9 shortly thereafter. The project was presumably scrapped in the wake of Ye's numerous antisemitic comments.			",,https://photos.fife.usercontent.google.com/pw/AP1GczO0CQBjNVkfoeTiNlz5AnYRp4WxICIx3MximYd1R6KSNpT5BTm0dsAx=w720-h720-s-no-gm?authuser=0,"""(04/01/2022) (The project is conceived)
(??/??/2023) (The album is scrapped)""	"
"""YEBU
(Ye 3)""","Days before Ye was set to hold YZY Season 9, he suddenly changed plans for the event and wore a ""White Lives Matter"" shirt. After that, Ye tweeted about going ""death con 3"" on Jewish people. Following an interview with Alex Jones in which he proclaimed himself a Nazi and claimed he ""liked Hitler,"" many fans and artists gave up supporting Ye and his antics. Following this and an ""apology"" posted on Instagram, Ye went silent for months and began working on new material in Italy with his frequent collaborators. Reportedly being made at the same time as VULTURES. The cover for this era is from the ""Someday We'll All Be Free"" single.			",,https://photos.fife.usercontent.google.com/pw/AP1GczPYXkHKZhmLtH6ATOK4Cs8Jpi9W7uyBiadsC6LLK1QKUofSrPenSTCA=w640-h853-s-no-gm?authuser=0,"""(10/03/2022) (Ye wears the White Lives Matter shirt)
(11/??/2023) (YEBU is shelved in favor of Vultures)""	"
"""Bad Bitch Playbook
(Collaboration with Ty Dolla $ign as ¥$)
(Bad Bitch Playbook Vol. 1, ¥$)""","Ye and Ty Dolla $ign frequently collaborated during the sessions for YEBU, hinting at a joint project. A snippet featuring Ty was released on October 2nd, 2023, leading to the song ""BACK TO ME"", and confirming a joint album via Instagram. TMZ later reported that Ye was producing both a solo album and a collaborative one with Ty. Then, during the Saudi Arabia recording sessions for Bad Bitch Playbook Vol. 1 in November 2023, the name for the collaborative project between Ty Dolla $ign & Ye would be changed to Vultures, with that coming a sonic change in the project.			",,https://photos.fife.usercontent.google.com/pw/AP1GczPP_NbqzVVsNgZ1J7DXUY2XmXlmIt8tFkJ-FX9vc4ksxulD5yIepIw4=w640-h640-s-no-gm?authuser=0,"""(Early 2023) (Bad Bitch Playbook is conceived)
(10/28/2023) (The name of the project is changed from BBPB to VULTURES 1)""	"
